source,target,value
Summe von B_KULTURLAND,FR,18053
Summe von B_KULTURLAND,SO,5217
Summe von B_KULTURLAND,99,8459
Summe von B_KULTURLAND,AG,5877
Summe von B_KULTURLAND,AI,4311
Summe von B_KULTURLAND,AR,7137
Summe von B_KULTURLAND,BE,78713
Summe von B_KULTURLAND,BL,4175
Summe von B_KULTURLAND,GE,176
Summe von B_KULTURLAND,GL,5777
Summe von B_KULTURLAND,GR,53547
Summe von B_KULTURLAND,JU,11767
Summe von B_KULTURLAND,LU,22317
Summe von B_KULTURLAND,NE,10583
Summe von B_KULTURLAND,NW,4821
Summe von B_KULTURLAND,OW,7737
Summe von B_KULTURLAND,SG,30615
Summe von B_KULTURLAND,SH,761
Summe von B_KULTURLAND,SZ,16615
Summe von B_KULTURLAND,TG,2110
Summe von B_KULTURLAND,TI,8697
Summe von B_KULTURLAND,UR,9592
Summe von B_KULTURLAND,VD,22550
Summe von B_KULTURLAND,VS,31446
Summe von B_KULTURLAND,ZG,3075
Summe von B_KULTURLAND,ZH,6292
Summe von B_VERSORGUNGSSICHERHEIT,FR,77995
Summe von B_VERSORGUNGSSICHERHEIT,SO,30430
Summe von B_VERSORGUNGSSICHERHEIT,99,27703
Summe von B_VERSORGUNGSSICHERHEIT,AG,60461
Summe von B_VERSORGUNGSSICHERHEIT,AI,7801
Summe von B_VERSORGUNGSSICHERHEIT,AR,12760
Summe von B_VERSORGUNGSSICHERHEIT,BE,208575
Summe von B_VERSORGUNGSSICHERHEIT,BL,20938
Summe von B_VERSORGUNGSSICHERHEIT,GE,9027
Summe von B_VERSORGUNGSSICHERHEIT,GL,6898
Summe von B_VERSORGUNGSSICHERHEIT,GR,55170
Summe von B_VERSORGUNGSSICHERHEIT,JU,39875
Summe von B_VERSORGUNGSSICHERHEIT,LU,79827
Summe von B_VERSORGUNGSSICHERHEIT,NE,33295
Summe von B_VERSORGUNGSSICHERHEIT,NW,5963
Summe von B_VERSORGUNGSSICHERHEIT,OW,8012
Summe von B_VERSORGUNGSSICHERHEIT,SG,70392
Summe von B_VERSORGUNGSSICHERHEIT,SH,13915
Summe von B_VERSORGUNGSSICHERHEIT,SZ,23812
Summe von B_VERSORGUNGSSICHERHEIT,TG,46761
Summe von B_VERSORGUNGSSICHERHEIT,TI,12571
Summe von B_VERSORGUNGSSICHERHEIT,UR,7260
Summe von B_VERSORGUNGSSICHERHEIT,VD,113714
Summe von B_VERSORGUNGSSICHERHEIT,VS,37399
Summe von B_VERSORGUNGSSICHERHEIT,ZG,9155
Summe von B_VERSORGUNGSSICHERHEIT,ZH,68805
Summe von B_BIODIVERSITAET,FR,16205
Summe von B_BIODIVERSITAET,SO,12520
Summe von B_BIODIVERSITAET,99,12134
Summe von B_BIODIVERSITAET,AG,22800
Summe von B_BIODIVERSITAET,AI,1355
Summe von B_BIODIVERSITAET,AR,1971
Summe von B_BIODIVERSITAET,BE,58238
Summe von B_BIODIVERSITAET,BL,8869
Summe von B_BIODIVERSITAET,GE,2662
Summe von B_BIODIVERSITAET,GL,2354
Summe von B_BIODIVERSITAET,GR,27258
Summe von B_BIODIVERSITAET,JU,12648
Summe von B_BIODIVERSITAET,LU,25739
Summe von B_BIODIVERSITAET,NE,6425
Summe von B_BIODIVERSITAET,NW,2199
Summe von B_BIODIVERSITAET,OW,2538
Summe von B_BIODIVERSITAET,SG,22542
Summe von B_BIODIVERSITAET,SH,5455
Summe von B_BIODIVERSITAET,SZ,11719
Summe von B_BIODIVERSITAET,TG,13541
Summe von B_BIODIVERSITAET,TI,3834
Summe von B_BIODIVERSITAET,UR,3004
Summe von B_BIODIVERSITAET,VD,32754
Summe von B_BIODIVERSITAET,VS,15526
Summe von B_BIODIVERSITAET,ZG,4995
Summe von B_BIODIVERSITAET,ZH,28597
Summe von B_PRODUKTIONSSYSTEME,FR,33613
Summe von B_PRODUKTIONSSYSTEME,SO,11064
Summe von B_PRODUKTIONSSYSTEME,99,20071
Summe von B_PRODUKTIONSSYSTEME,AG,23289
Summe von B_PRODUKTIONSSYSTEME,AI,3713
Summe von B_PRODUKTIONSSYSTEME,AR,5542
Summe von B_PRODUKTIONSSYSTEME,BE,81271
Summe von B_PRODUKTIONSSYSTEME,BL,7234
Summe von B_PRODUKTIONSSYSTEME,GE,1678
Summe von B_PRODUKTIONSSYSTEME,GL,2943
Summe von B_PRODUKTIONSSYSTEME,GR,26973
Summe von B_PRODUKTIONSSYSTEME,JU,15430
Summe von B_PRODUKTIONSSYSTEME,LU,44711
Summe von B_PRODUKTIONSSYSTEME,NE,11264
Summe von B_PRODUKTIONSSYSTEME,NW,2525
Summe von B_PRODUKTIONSSYSTEME,OW,4188
Summe von B_PRODUKTIONSSYSTEME,SG,34954
Summe von B_PRODUKTIONSSYSTEME,SH,3478
Summe von B_PRODUKTIONSSYSTEME,SZ,9728
Summe von B_PRODUKTIONSSYSTEME,TG,22646
Summe von B_PRODUKTIONSSYSTEME,TI,4162
Summe von B_PRODUKTIONSSYSTEME,UR,2656
Summe von B_PRODUKTIONSSYSTEME,VD,34448
Summe von B_PRODUKTIONSSYSTEME,VS,10172
Summe von B_PRODUKTIONSSYSTEME,ZG,4248
Summe von B_PRODUKTIONSSYSTEME,ZH,25092
Summe von B_LANDSCHAFTSQUALITAET,FR,8970
Summe von B_LANDSCHAFTSQUALITAET,SO,2152
Summe von B_LANDSCHAFTSQUALITAET,99,3147
Summe von B_LANDSCHAFTSQUALITAET,AG,2288
Summe von B_LANDSCHAFTSQUALITAET,AI,223
Summe von B_LANDSCHAFTSQUALITAET,AR,1291
Summe von B_LANDSCHAFTSQUALITAET,BE,26117
Summe von B_LANDSCHAFTSQUALITAET,BL,1332
Summe von B_LANDSCHAFTSQUALITAET,GE,832
Summe von B_LANDSCHAFTSQUALITAET,GL,950
Summe von B_LANDSCHAFTSQUALITAET,GR,10598
Summe von B_LANDSCHAFTSQUALITAET,JU,4262
Summe von B_LANDSCHAFTSQUALITAET,LU,9365
Summe von B_LANDSCHAFTSQUALITAET,NE,1861
Summe von B_LANDSCHAFTSQUALITAET,NW,840
Summe von B_LANDSCHAFTSQUALITAET,OW,1265
Summe von B_LANDSCHAFTSQUALITAET,SG,3156
Summe von B_LANDSCHAFTSQUALITAET,SH,1364
Summe von B_LANDSCHAFTSQUALITAET,SZ,3416
Summe von B_LANDSCHAFTSQUALITAET,TG,2949
Summe von B_LANDSCHAFTSQUALITAET,TI,614
Summe von B_LANDSCHAFTSQUALITAET,UR,1194
Summe von B_LANDSCHAFTSQUALITAET,VD,13267
Summe von B_LANDSCHAFTSQUALITAET,VS,5587
Summe von B_LANDSCHAFTSQUALITAET,ZG,993
Summe von B_LANDSCHAFTSQUALITAET,ZH,6634
Summe von B_RESSOURCENEFFIZIENZ,FR,1713
Summe von B_RESSOURCENEFFIZIENZ,SO,419
Summe von B_RESSOURCENEFFIZIENZ,99,801
Summe von B_RESSOURCENEFFIZIENZ,AG,795
Summe von B_RESSOURCENEFFIZIENZ,AI,2
Summe von B_RESSOURCENEFFIZIENZ,AR,2
Summe von B_RESSOURCENEFFIZIENZ,BE,2063
