source;target;value
Talgebiet;KULTURLAND;70845
Talgebiet;VERSORGUNGSSICHERHEIT;641070
Talgebiet;BIODIVERSITAET;210843
Talgebiet;PRODUKTIONSSYSTEME;263631
Talgebiet;LANDSCHAFTSQUALITAET;59429
Talgebiet;RESSOURCENEFFIZIENZ;15190
Berggebiet;KULTURLAND;309574
Berggebiet;VERSORGUNGSSICHERHEIT;447442
Berggebiet;BIODIVERSITAET;147040
Berggebiet;PRODUKTIONSSYSTEME;183462
Berggebiet;LANDSCHAFTSQUALITAET;55239
Berggebiet;RESSOURCENEFFIZIENZ;1922
KULTURLAND;Ackerbau;1255
VERSORGUNGSSICHERHEIT;Ackerbau;90343
BIODIVERSITAET;Ackerbau;22400
PRODUKTIONSSYSTEME;Ackerbau;12401
LANDSCHAFTSQUALITAET;Ackerbau;7858
RESSOURCENEFFIZIENZ;Ackerbau;2914
KULTURLAND;Gemüse- /Gartenbau;195
VERSORGUNGSSICHERHEIT;Gemüse- /Gartenbau;16868
BIODIVERSITAET;Gemüse- /Gartenbau;3843
PRODUKTIONSSYSTEME;Gemüse- /Gartenbau;3979
LANDSCHAFTSQUALITAET;Gemüse- /Gartenbau;949
RESSOURCENEFFIZIENZ;Gemüse- /Gartenbau;239
KULTURLAND;Obstbau;528
VERSORGUNGSSICHERHEIT;Obstbau;8430
BIODIVERSITAET;Obstbau;2619
PRODUKTIONSSYSTEME;Obstbau;1455
LANDSCHAFTSQUALITAET;Obstbau;586
RESSOURCENEFFIZIENZ;Obstbau;246
KULTURLAND;Weinbau;11246
VERSORGUNGSSICHERHEIT;Weinbau;18736
BIODIVERSITAET;Weinbau;5405
PRODUKTIONSSYSTEME;Weinbau;1989
LANDSCHAFTSQUALITAET;Weinbau;1651
RESSOURCENEFFIZIENZ;Weinbau;460
KULTURLAND;Verkehrsmilch;212175
VERSORGUNGSSICHERHEIT;Verkehrsmilch;384545
BIODIVERSITAET;Verkehrsmilch;117560
PRODUKTIONSSYSTEME;Verkehrsmilch;155110
LANDSCHAFTSQUALITAET;Verkehrsmilch;42588
RESSOURCENEFFIZIENZ;Verkehrsmilch;2514
KULTURLAND;Mutterkühe;45688
VERSORGUNGSSICHERHEIT;Mutterkühe;78003
BIODIVERSITAET;Mutterkühe;38169
PRODUKTIONSSYSTEME;Mutterkühe;42857
LANDSCHAFTSQUALITAET;Mutterkühe;10199
RESSOURCENEFFIZIENZ;Mutterkühe;432
KULTURLAND;Pferde/Schafe/Ziegen;27708
VERSORGUNGSSICHERHEIT;Pferde/Schafe/Ziegen;39850
BIODIVERSITAET;Pferde/Schafe/Ziegen;21197
PRODUKTIONSSYSTEME;Pferde/Schafe/Ziegen;16701
LANDSCHAFTSQUALITAET;Pferde/Schafe/Ziegen;5027
RESSOURCENEFFIZIENZ;Pferde/Schafe/Ziegen;67
KULTURLAND;Schweine;3241
VERSORGUNGSSICHERHEIT;Schweine;10077
BIODIVERSITAET;Schweine;3031
PRODUKTIONSSYSTEME;Schweine;10731
LANDSCHAFTSQUALITAET;Schweine;1010
RESSOURCENEFFIZIENZ;Schweine;316
KULTURLAND;Geflügel;1294
VERSORGUNGSSICHERHEIT;Geflügel;4124
BIODIVERSITAET;Geflügel;1736
PRODUKTIONSSYSTEME;Geflügel;7215
LANDSCHAFTSQUALITAET;Geflügel;427
RESSOURCENEFFIZIENZ;Geflügel;62
KULTURLAND;Kombiniert Verkehrsmilch/Ackerbau;6756
VERSORGUNGSSICHERHEIT;Kombiniert Verkehrsmilch/Ackerbau;97469
BIODIVERSITAET;Kombiniert Verkehrsmilch/Ackerbau;24594
