"abbr","id","name","KTS","KTS_Betrag","SEB","SEB_Betrag","TF","TF_Betrag","IN","IN_Betrag","Q_Gde_Angebot","Q_In_GK","Q_Gr_Plätze","Q_Gte_Betreuungsst","AS_Nachfrage","Q_Nf_Plätze","Q_Deck_Nachfrage","Q_Total","EQ_Fem","EQ_Masc","EQ_Muet","EQ_Vaet","EQ_TOTAL","TZ_Fem","TZ_Masc","TZ_Muet","TZ_Vaet","TZ_TOTAL","HH_PoK","HH_PmK","HH_EtmK","Norm_Kanton","Programm_Kanton","Gesamt_Kanton","Name_ZB","Link_ZB","Adresse_ZB","Tel_ZB"
"AG",19,"Aargau",101,9150746.70,70,2811133.05,5,4839.90,176,11966719.65,2,2,2,0,0,0,0,6,"75.10%","87.70%","75.10%","95.30%","16.40%","38.20%","6.40%","56.00%","5.00%","41.40%","32.10%","28.77%","5.16%",0,1,1,"Departement Gesundheit und Soziales, Kantonaler Sozialdienst","https://www.ag.ch/de/dgs/dgs.jsp","Öffentliche Sozialhilfe, Obere Vorstadt 3, Postfach 2254, 5001 Aarau","+41 62 835 29 90"
"AI",16,"Appenzell Innerrhoden",0,0,1,49846.65,2,2788.35,3,52635.00,0,0,0,0,0,0,0,0,"73.70%","86.20%","67.20%","97.60%","21.45%","32.90%","3.80%","51.60%",-9999,"29.10%","27.98%","36.25%","4.15%",0,0,0,"Gesundheits- und Sozialdepartement","http://www.ai.ch/de/verwaltung/aemter/welcome.php?amt_id=614","Hoferbad 2, 9050 Appenzell","+41 71 788 94 57"
"AR",15,"Appenzell Ausserrhoden",6,506314.50,4,376452.20,1,1423.35,11,884190.05,0,0,0,0,0,0,0,0,"76.70%","90.70%","79.80%","94.40%","14.30%","40.30%","9.60%","61.10%","8.00%","41.90%","31.40%","28.75%","4.71%",0,1,1,"Fachstelle Familien und Gleichstellung","http://www.ar.ch/departemente/departement-inneres-und-kultur/amt-fuer-gesellschaft/familien/","Fachstelle Familien und Gleichstellung, Obstmarkt 1, 9102 Herisau","+41 71 353 64 47"
"BE",2,"Bern",150,14343172.80,99,6954707.70,16,67289.20,265,21365169.70,0,0,0,0,0,0,0,0,"77.00%","87.70%","78.70%","96.30%","14.15%","43.10%","9.50%","63.00%","8.30%","44.15%","31.61%","24.82%","4.96%",1,1,3,"Sozialamt des Kantons Bern, Abteilung Gesundheitsförderung/ Kinderbetreuung/ Suchtfragen","http://www.gef.be.ch/gef/de/index/familie/familie/familienergaenzendebetreuung.html","Rathausgasse 1, 3011 Bern","+41 31 633 79 20"
"BL",13,"Basel-Landschaft",37,3337354.70,33,1148744.55,8,38261.75,78,4524361.00,0,0,0,0,0,0,0,0,"74.00%","85.20%","75.90%","95.40%","15.35%","40.00%","7.80%","56.20%","6.20%","41.10%","31.93%","27.16%","5.16%",1,1,3,"Bildungs-, Kultur- und Sportdirektion Basel-Landschaft, Fachstelle für Sonderschulung, Jugend- und Behindertenhilfe","http://www.baselland.ch/Kind-Jugend-Behinderte.317383.0.html","Postfach, 414 Füllinsdorf","+41 61 552 17 70"
"BS",12,"Basel-Stadt",54,7355763.40,46,3740670.25,2,61421.50,102,11157855.15,0,1,1,0,2,0,0,4,"71.30%","78.70%","70.00%","87.50%","12.45%","34.70%","11.80%","47.10%","11.10%","29.45%","24.81%","17.97%","5.59%",1,1,3,"Erziehungsdepartement Basel Stadt, Fachstelle Tagesbetreuung","http://www.jfs.bs.ch/fuer-familien.html","Leimenstrasse 1, Postfach, 4001 Basel","+41 61 267 43 20"
"FR",10,"Fribourg",34,3747928.30,62,1705188.70,8,80994.40,104,5534111.40,0,0,0,0,2,0,1,3,"73.00%","86.30%","76.80%","95.50%","16.00%","41.40%","6.40%","57.90%","6.30%","43.30%","27.67%","33.74%","5.25%",1,1,3,"Jugendamt, Sektor familienexterne Kinderbetreuung","http://www.fr.ch/sej/de/pub/familienexterne.htm","Boulevard de Pérolles 30, Case postale 29, 1705 Fribourg","+41 26 305 15 30 "
"GE",25,"Genève",51,18300275.60,0,0,7,155025.80,58,18455301.40,0,2,2,0,2,0,0,6,"68.50%","79.80%","75.60%","92.70%","14.20%","29.60%","8.10%","40.20%","6.80%","27.45%","20.15%","27.42%","8.89%",0,1,1,"Office de l'enfance et de la jeunesse, Service d'autorisation et de surveillance de l'accueil de jour","http://www.geneve.ch/accueil-placement-mineurs/welcome.asp","Rue des Granges 7, 1204 Genève","+41 22 546 10 60"
"GL",8,"Glarus",4,417404.50,13,328647.25,1,5711.45,18,751763.20,2,2,2,0,0,0,0,6,"79.40%","87.80%","82.00%","94.50%","10.45%","38.50%","7.90%","52.50%","10.20%","36.45%","28.76%","28.79%","5.81%",0,0,0,"Kantonales Sozialamt Glarus","http://www.gl.ch/xml_1/internet/de/application/d1256/d37/d275/f276.cfm","Zwinglistrasse 6, 8750 Glarus","+41 55 646 67 00"
"GR",18,"Graubünden",25,2015354.50,12,371191.80,1,21326.55,38,2407872.85,1,1,1,1,2,0,0,6,"74.90%","87.10%","76.70%","96.10%","15.80%","38.30%","4.60%","56.30%","2.90%","43.55%","28.85%","26.43%","4.57%",1,1,3,"Kantonales Sozialamt","http://www.gr.ch/DE/institutionen/verwaltung/dvs/soa/ueberuns/Seiten/default.aspx","Gürtelstr. 89, 7001 Chur","+41 81 257 26 53"
