"";"id";"gemeindename";"val"
"1";1;"Aeugst am Albis";83289
"2";2;"Affoltern am Albis";55908
"3";3;"Bonstetten";71353
"4";4;"Hausen am Albis";65911
"5";5;"Hedingen";72514
"6";6;"Kappel am Albis";114763
"7";7;"Knonau";63030
"8";8;"Maschwanden";59141
"9";9;"Mettmenstetten";68996
"10";10;"Obfelden";60433
"11";11;"Ottenbach";68564
"12";12;"Rifferswil";68575
"13";13;"Stallikon";80048
"14";14;"Wettswil am Albis";91046
"15";21;"Adlikon";61514
"16";22;"Benken (ZH)";59144
"17";23;"Berg am Irchel";62367
"18";24;"Buch am Irchel";66300
"19";25;"Dachsen";65188
"20";26;"Dorf";69074
"21";27;"Feuerthalen";58676
"22";28;"Flaach";60060
"23";29;"Flurlingen";72933
"24";30;"Andelfingen";64861
"25";31;"Henggart";65489
"26";32;"Humlikon";64864
"27";33;"Kleinandelfingen";60036
"28";34;"Laufen-Uhwiesen";75859
"29";35;"Marthalen";59657
"30";36;"Oberstammheim";59159
"31";37;"Ossingen";56752
"32";38;"Rheinau";54750
"33";39;"Thalheim an der Thur";62021
"34";40;"Trüllikon";58772
"35";41;"Truttikon";52144
"36";42;"Unterstammheim";58759
"37";43;"Volken";64218
"38";44;"Waltalingen";56076
"39";51;"Bachenbülach";62577
"40";52;"Bassersdorf";64997
"41";53;"Bülach";58338
"42";54;"Dietlikon";64589
"43";55;"Eglisau";66327
"44";56;"Embrach";57327
"45";57;"Freienstein-Teufen";62601
"46";58;"Glattfelden";57298
"47";59;"Hochfelden";64203
"48";60;"Höri";51769
"49";61;"Hüntwangen";66732
"50";62;"Kloten";56334
"51";63;"Lufingen";76124
"52";64;"Nürensdorf";81200
"53";65;"Oberembrach";65936
"54";66;"Opfikon";54477
"55";67;"Rafz";61075
"56";68;"Rorbas";52943
"57";69;"Wallisellen";68158
"58";70;"Wasterkingen";58058
"59";71;"Wil (ZH)";65210
"60";72;"Winkel";89358
"61";81;"Bachs";58459
"62";82;"Boppelsen";96712
"63";83;"Buchs (ZH)";62179
"64";84;"Dällikon";58897
"65";85;"Dänikon";66938
"66";86;"Dielsdorf";60900
"67";87;"Hüttikon";73108
"68";88;"Neerach";93192
"69";89;"Niederglatt";58589
"70";90;"Niederhasli";57324
"71";91;"Niederweningen";65659
"72";92;"Oberglatt";50730
"73";93;"Oberweningen";66301
"74";94;"Otelfingen";65295
"75";95;"Regensberg";78987
"76";96;"Regensdorf";57858
"77";97;"Rümlang";57273
"78";98;"Schleinikon";61048
"79";99;"Schöfflisdorf";64251
"80";100;"Stadel";61810
"81";101;"Steinmaur";62253
"82";102;"Weiach";57719
"83";111;"Bäretswil";58335
"84";112;"Bubikon";64573
"85";113;"Dürnten";56725
"86";114;"Fischenthal";47437
"87";115;"Gossau (ZH)";63963
"88";116;"Grüningen";64618
"89";117;"Hinwil";58478
"90";118;"Rüti (ZH)";50618
"91";119;"Seegräben";64020
"92";120;"Wald (ZH)";49007
"93";121;"Wetzikon (ZH)";53781
"94";131;"Adliswil";65852
"95";132;"Hirzel";68247
"96";133;"Horgen";73946
"97";134;"Hütten";53297
"98";135;"Kilchberg (ZH)";125700
"99";136;"Langnau am Albis";75815
"100";137;"Oberrieden";102441
"101";138;"Richterswil";69277
"102";139;"Rüschlikon";124097
"103";140;"Schönenberg (ZH)";70052
"104";141;"Thalwil";85599
"105";142;"Wädenswil";65907
"106";151;"Erlenbach (ZH)";154344
"107";152;"Herrliberg";141408
"108";153;"Hombrechtikon";61541
"109";154;"Küsnacht (ZH)";134748
"110";155;"Männedorf";81036
"111";156;"Meilen";101833
"112";157;"Oetwil am See";53692
"113";158;"Stäfa";78182
"114";159;"Uetikon am See";94561
"115";160;"Zumikon";149120
"116";161;"Zollikon";124785
"117";171;"Bauma";51180
"118";172;"Fehraltorf";64416
"119";173;"Hittnau";64518
"120";174;"Illnau-Effretikon";57122
"121";175;"Kyburg";65371
"122";176;"Lindau";67220
"123";177;"Pfäffikon";61644
"124";178;"Russikon";69539
"125";179;"Sternenberg";46500
"126";180;"Weisslingen";70220
"127";181;"Wila";50125
"128";182;"Wildberg";59051
"129";191;"Dübendorf";62492
"130";192;"Egg";73353
"131";193;"Fällanden";72084
"132";194;"Greifensee";67598
"133";195;"Maur";94406
"134";196;"Mönchaltorf";61840
"135";197;"Schwerzenbach";63280
"136";198;"Uster";62354
"137";199;"Volketswil";64941
"138";200;"Wangen-Brüttisellen";67392
"139";211;"Altikon";55752
"140";212;"Bertschikon";59902
"141";213;"Brütten";80245
"142";214;"Dägerlen";60748
"143";215;"Dättlikon";71332
"144";216;"Dinhard";65640
"145";217;"Elgg";56926
"146";218;"Ellikon an der Thur";64816
"147";219;"Elsau";60631
"148";220;"Hagenbuch";56725
"149";221;"Hettlingen";78852
"150";222;"Hofstetten (ZH)";52959
"151";223;"Neftenbach";69351
"152";224;"Pfungen";55326
"153";225;"Rickenbach (ZH)";61443
"154";226;"Schlatt (ZH)";55793
"155";227;"Seuzach";72080
"156";228;"Turbenthal";49446
"157";229;"Wiesendangen";69298
"158";230;"Winterthur";54653
"159";231;"Zell (ZH)";50775
"160";241;"Aesch (ZH)";91999
"161";242;"Birmensdorf (ZH)";68098
"162";243;"Dietikon";48471
"163";244;"Geroldswil";66846
"164";245;"Oberengstringen";61882
"165";246;"Oetwil an der Limmat";75339
"166";247;"Schlieren";49837
"167";248;"Uitikon";156806
"168";249;"Unterengstringen";75599
"169";250;"Urdorf";62571
"170";251;"Weiningen (ZH)";64609
"171";261;"Zürich";61758
"172";301;"Aarberg";51946
"173";302;"Bargen (BE)";47050
"174";303;"Grossaffoltern";50078
"175";304;"Kallnach";49088
"176";305;"Kappelen";55043
"177";306;"Lyss";49931
"178";307;"Meikirch";54880
"179";309;"Radelfingen";48821
"180";310;"Rapperswil (BE)";52821
"181";311;"Schüpfen";51629
"182";312;"Seedorf (BE)";49862
"183";321;"Aarwangen";50014
"184";322;"Auswil";38514
"185";323;"Bannwil";45795
"186";324;"Bleienbach";48022
"187";325;"Busswil bei Melchnau";48033
"188";326;"Gondiswil";39862
"189";329;"Langenthal";47295
"190";331;"Lotzwil";44674
"191";332;"Madiswil";45884
"192";333;"Melchnau";43117
"193";334;"Obersteckholz";44200
"194";335;"Oeschenbach";39439
"195";336;"Reisiswil";39587
"196";337;"Roggwil (BE)";43937
"197";338;"Rohrbach";40415
"198";339;"Rohrbachgraben";37097
"199";340;"Rütschelen";42965
"200";341;"Schwarzhäusern";48397
"201";342;"Thunstetten";46265
"202";344;"Ursenbach";37359
"203";345;"Wynau";47225
"204";351;"Bern";52439
"205";352;"Bolligen";68245
"206";353;"Bremgarten bei Bern";71900
"207";354;"Kirchlindach";64953
"208";355;"Köniz";55635
"209";356;"Muri bei Bern";81267
"210";357;"Oberbalm";45084
"211";358;"Stettlen";61813
"212";359;"Vechigen";59472
"213";360;"Wohlen bei Bern";64902
"214";361;"Zollikofen";56380
"215";362;"Ittigen";57127
"216";363;"Ostermundigen";46721
"217";371;"Biel/Bienne";41237
"218";372;"Evilard";74576
"219";381;"Arch";48976
"220";382;"Büetigen";47066
"221";383;"Büren an der Aare";50516
"222";385;"Diessbach bei Büren";51003
"223";386;"Dotzigen";47858
"224";387;"Lengnau (BE)";45610
"225";388;"Leuzigen";45731
"226";389;"Meienried";52447
"227";390;"Meinisberg";49985
"228";391;"Oberwil bei Büren";48325
"229";392;"Pieterlen";44129
"230";393;"Rüti bei Büren";45225
"231";394;"Wengi";47762
"232";401;"Aefligen";46484
"233";402;"Alchenstorf";46043
"234";403;"Bäriswil";58164
"235";404;"Burgdorf";47022
"236";405;"Ersigen";51371
"237";406;"Hasle bei Burgdorf";41799
"238";407;"Heimiswil";43254
"239";408;"Hellsau";51242
"240";409;"Hindelbank";51365
"241";410;"Höchstetten";41759
"242";411;"Kernenried";43790
"243";412;"Kirchberg (BE)";52973
"244";413;"Koppigen";49741
"245";414;"Krauchthal";48427
"246";415;"Lyssach";49257
"247";416;"Mötschwil";44246
"248";417;"Niederösch";46288
"249";418;"Oberburg";40786
"250";419;"Oberösch";52106
"251";420;"Rüdtligen-Alchenflüh";44169
"252";421;"Rumendingen";39391
"253";422;"Rüti bei Lyssach";43608
"254";423;"Willadingen";48423
"255";424;"Wynigen";39961
"256";431;"Corgémont";46514
"257";432;"Cormoret";46718
"258";433;"Cortébert";43462
"259";434;"Courtelary";46675
"260";435;"La Ferrière";47207
"261";436;"La Heutte";45685
"262";437;"Mont-Tramelan";38620
"263";438;"Orvin";46854
"264";439;"Péry";46845
"265";440;"Plagne";45959
"266";441;"Renan (BE)";44112
"267";442;"Romont (BE)";47798
"268";443;"Saint-Imier";43120
"269";444;"Sonceboz-Sombeval";45215
"270";445;"Sonvilier";39491
"271";446;"Tramelan";44153
"272";447;"Vauffelin";44852
"273";448;"Villeret";47720
"274";491;"Brüttelen";45237
"275";492;"Erlach";53771
"276";493;"Finsterhennen";49379
"277";494;"Gals";57071
"278";495;"Gampelen";50068
"279";496;"Ins";54031
"280";497;"Lüscherz";53230
"281";498;"Müntschemier";49775
"282";499;"Siselen";44039
"283";500;"Treiten";51060
"284";501;"Tschugg";47412
"285";502;"Vinelz";54895
