ID,Jahr,Quelle,Kanton_Betrieb,Betrieb,Zusatzname,Inhaberin,BUR,X,Y,Adresse_Betrieb,PLZ_Betrieb,Ort_Betrieb,NOGA-Code,NACE-Code,Haupttätigkeit,Schadstoff_Nr,Schadstoff_Name,CAS,Schadstoff_Gruppe,Medium,Schadstoff_Schwelle,Datenerhebung,Methode,Sonderabfall,Inland,Verwendung,Name_Abfallverwerter,Adresse_Abfallverwerter,PLZ_Abfallverwerter,Ort_Abfallverwerter,Land_Abfallverwerter,Wert,Einheit,Bemerkung
1,2007,Betrieb,BS,Abfalllösungsmittelregeneration WKL-641,,Novartis AG - Werk Basel St. Johann,65578390,268975,611359,Klybeckstrasse 141,4057,Basel,0,0,Abfall- und Abwasserbewirtschaftung,,Sonderabfall,,,Abfall,2000,-,,Ja,FALSCH,Verwertung,REMATEC GmbH,Im Mittelgewann 4 - 8,69123,REMATEC GmbH,Deutschland,241230,kg/a,
2,2007,Betrieb,SH,Abwasserreinigungsanlage,,Abwasserreinigungsanlage,,281276,688654,Badstrasse 40,8212,Neuhausen am/Rheinfall,370000,3700,Abfall- und Abwasserbewirtschaftung,12,Gesamtstickstoff,,Anorganische Stoffe,Boden,50000,Schätzung,,-,WAHR,,-,-,-,-,-,0,kg/a,
3,2007,Betrieb,SH,Abwasserreinigungsanlage,,Abwasserreinigungsanlage,,281276,688654,Badstrasse 40,8212,Neuhausen am/Rheinfall,370000,3700,Abfall- und Abwasserbewirtschaftung,12,Gesamtstickstoff,,Anorganische Stoffe,Wasser,50000,Messung,Labormessungen,-,WAHR,,-,-,-,-,-,78841,kg/a,
4,2007,Betrieb,SH,Abwasserreinigungsanlage,,Abwasserreinigungsanlage,,281276,688654,Badstrasse 40,8212,Neuhausen am/Rheinfall,370000,3700,Abfall- und Abwasserbewirtschaftung,13,Gesamtphosphor,,Anorganische Stoffe,Boden,5000,Schätzung,,-,WAHR,,-,-,-,-,-,0,kg/a,
5,2007,Betrieb,SH,Abwasserreinigungsanlage,,Abwasserreinigungsanlage,,281276,688654,Badstrasse 40,8212,Neuhausen am/Rheinfall,370000,3700,Abfall- und Abwasserbewirtschaftung,13,Gesamtphosphor,,Anorganische Stoffe,Wasser,5000,Messung,Labormessungen,-,WAHR,,-,-,-,-,-,7343,kg/a,
6,2007,Betrieb,SH,Abwasserreinigungsanlage,,Abwasserreinigungsanlage,,281276,688654,Badstrasse 40,8212,Neuhausen am/Rheinfall,370000,3700,Abfall- und Abwasserbewirtschaftung,76,TOC,,Andere organische Stoffe,Wasser,50000,Messung,Labormessungen,-,WAHR,,-,-,-,-,-,69817,kg/a,
7,2007,Betrieb,LU,Abwasserreinigungsanlage REAL,,REAL,63281425,215700,666800,Buholzstrasse 32,6032,Emmen,370000,3700,Abfall- und Abwasserbewirtschaftung,12,Gesamtstickstoff,,Anorganische Stoffe,Boden,50000,Schätzung,,-,WAHR,,-,-,-,-,-,0,kg/a,
8,2007,Betrieb,LU,Abwasserreinigungsanlage REAL,,REAL,63281425,215700,666800,Buholzstrasse 32,6032,Emmen,370000,3700,Abfall- und Abwasserbewirtschaftung,12,Gesamtstickstoff,,Anorganische Stoffe,Wasser,50000,Berechnung,Mengenmessung * Konzentration (Küvettentest),-,WAHR,,-,-,-,-,-,394000,kg/a,
9,2007,Betrieb,LU,Abwasserreinigungsanlage REAL,,REAL,63281425,215700,666800,Buholzstrasse 32,6032,Emmen,370000,3700,Abfall- und Abwasserbewirtschaftung,13,Gesamtphosphor,,Anorganische Stoffe,Boden,5000,Schätzung,,-,WAHR,,-,-,-,-,-,0,kg/a,
10,2007,Betrieb,LU,Abwasserreinigungsanlage REAL,,REAL,63281425,215700,666800,Buholzstrasse 32,6032,Emmen,370000,3700,Abfall- und Abwasserbewirtschaftung,13,Gesamtphosphor,,Anorganische Stoffe,Wasser,5000,Berechnung,Mengenmessung * Konzentration (Küvettentest),-,WAHR,,-,-,-,-,-,18000,kg/a,
11,2007,Betrieb,LU,Abwasserreinigungsanlage REAL,,REAL,63281425,215700,666800,Buholzstrasse 32,6032,Emmen,370000,3700,Abfall- und Abwasserbewirtschaftung,76,TOC,,Andere organische Stoffe,Wasser,50000,Schätzung,COD/3,-,WAHR,,-,-,-,-,-,265000,kg/a,
12,2007,Betrieb,AG,Abwasserverband Aarau und Umgebung,,Abwasserverband Aarau und Umgebung,55051376,250470,647260,Neumattstrasse 72,5000,Aarau,370000,3700,Abfall- und Abwasserbewirtschaftung,12,Gesamtstickstoff,,Anorganische Stoffe,Boden,50000,Schätzung,,-,WAHR,,-,-,-,-,-,0,kg/a,
13,2007,Betrieb,AG,Abwasserverband Aarau und Umgebung,,Abwasserverband Aarau und Umgebung,55051376,250470,647260,Neumattstrasse 72,5000,Aarau,370000,3700,Abfall- und Abwasserbewirtschaftung,12,Gesamtstickstoff,,Anorganische Stoffe,Wasser,50000,Messung,Photometer,-,WAHR,,-,-,-,-,-,226834,kg/a,
14,2007,Betrieb,AG,Abwasserverband Aarau und Umgebung,,Abwasserverband Aarau und Umgebung,55051376,250470,647260,Neumattstrasse 72,5000,Aarau,370000,3700,Abfall- und Abwasserbewirtschaftung,13,Gesamtphosphor,,Anorganische Stoffe,Boden,5000,Schätzung,,-,WAHR,,-,-,-,-,-,0,kg/a,
