creditor,Concept,debtor,Data Source,Unit,Scale,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Austria,Portfolio Investment Total Assets (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,Portfolio Investment Total Assets (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,2433083706,3449174300,3566712000,4464963800,4301186200,4598964000,5292199500,4179275100,5603934000,4993379400,4181884800,4926639600,2433.1,3449.2,3566.7,4465.0,4301.2,4599.0,5292.2,4179.3,5603.9,4993.4,4181.9,4926.6
Austria,Portfolio Investment Total Assets (BPM5),Cyprus,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,61250350,82847300,194502000,1036558100,2105764500,3948366000,4953616500,4955843700,4075457400,499738800,445101600,189993600,61.3,82.8,194.5,1036.6,2105.8,3948.4,4953.6,4955.8,4075.5,499.7,445.1,190.0
Austria,Portfolio Investment Total Assets (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,67066930,82847300,202080000,261523200,189931700,184380000,184012500,158653800,72030000,78835800,72458400,110829600,67.1,82.8,202.1,261.5,189.9,184.4,184.0,158.7,72.0,78.8,72.5,110.8
Austria,Portfolio Investment Total Assets (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,49961320.27,91272850.9,19212441.19,57903684.63,95410877.78,16748910.42,12332839.41,22885053.84,19408500,27707400,0.0,0.0,50.0,91.3,19.2,57.9,95.4,16.7,12.3,22.9,19.4,27.7
Austria,Portfolio Investment Total Assets (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,1194761897,1631777200,2531052000,2838616400,2935093600,3312255000,3568370400,2971279500,3245671800,3869635200,4334565000,4666717800,1194.8,1631.8,2531.1,2838.6,2935.1,3312.3,3568.4,2971.3,3245.7,3869.6,4334.6,4666.7
Austria,Portfolio Investment Total Assets (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,6393826295,9325040400,13812168000,18689374100,20286121200,24371085000,26725975500,24930913800,30337595400,29962948800,27030864900,30015030600,6393.8,9325.0,13812.2,18689.4,20286.1,24371.1,26726.0,24930.9,30337.6,29962.9,27030.9,30015.0
Austria,Portfolio Investment Total Assets (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,Portfolio Investment Total Assets (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,30471779799,43127787500,59148816000,71274606700,69381696100,80605668000,92854179600,76496182200,78632269800,74359530000,68052670500,66124369800,30471.8,43127.8,59148.8,71274.6,69381.7,80605.7,92854.2,76496.2,78632.3,74359.5,68052.7,66124.4
Austria,Portfolio Investment Total Assets (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
