creditor,Concept,debtor,Data Source,Unit,Scale,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Austria,Portfolio Investment Total Banks Assets (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Portfolio Investment Total Banks Assets (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,103719676.5,183522500,184398000,266971600,476598800,607137000,865594800,1084134300,1400263200,1960205400,1465988700,1163710800,103.7196765,183.5225,184.398,266.9716,476.5988,607.137,865.5948,1084.1343,1400.2632,1960.2054,1465.9887,1163.7108
Austria,Portfolio Investment Total Banks Assets (BPM5),Cyprus,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,42390530,34607100,127563000,949383700,1977177200,3857493000,4768131900,4713687900,3929956800,327369000,307948200,87080400,42.39053,34.6071,127.563,949.3837,1977.1772,3857.493,4768.1319,4713.6879,3929.9568,327.369,307.9482,87.0804
Austria,Portfolio Investment Total Banks Assets (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,64687420,42996700,49257000,164814100,161618900,164625000,166347300,146128500,69148800,72154800,62107200,68608800,64.68742,42.9967,49.257,164.8141,161.6189,164.625,166.3473,146.1285,69.1488,72.1548,62.1072,68.6088
Austria,Portfolio Investment Total Banks Assets (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,180473726.8,253785400,464784000,705567800,848204300,1078623000,1146765900,1203820500,1115024400,1731715200,2138816700,853651800,180.4737268,253.7854,464.784,705.5678,848.2043,1078.623,1146.7659,1203.8205,1115.0244,1731.7152,2138.8167,853.6518
Austria,Portfolio Investment Total Banks Assets (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,1175913385,1756572500,2632092000,3432492000,4073504100,5034891000,5819211300,6563257200,6811156800,8699998200,8036412900,6162917400,1175.913385,1756.5725,2632.092,3432.492,4073.5041,5034.891,5819.2113,6563.2572,6811.1568,8699.9982,8036.4129,6162.9174
Austria,Portfolio Investment Total Banks Assets (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,8395038539,13774674500,18444852000,23874888800,22030897500,22619475000,25635149400,21844123200,18763815000,28411620600,26470606200,10522215000,8395.038539,13774.6745,18444.852,23874.8888,22030.8975,22619.475,25635.1494,21844.1232,18763.815,28411.6206,26470.6062,10522.215
Austria,Portfolio Investment Total Banks Assets (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,1223979235,2440324900,4181793000,5358501400,5019623500,5973912000,7545984600,5072746500,3816149400,4188987000,1551386100,6597000,1223.979235,2440.3249,4181.793,5358.5014,5019.6235,5973.912,7545.9846,5072.7465,3816.1494,4188.987,1551.3861,6.597
Austria,Portfolio Investment Total Banks Assets (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,568607400.9,772891900,1540860000,2988447400,3851720500,5976546000,8245232100,7014168000,7231812000,3685239600,4099075200,2013404400,568.6074009,772.8919,1540.86,2988.4474,3851.7205,5976.546,8245.2321,7014.168,7231.812,3685.2396,4099.0752,2013.4044
Austria,Portfolio Investment Total Banks Assets (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,2931016771,4334277100,5389221000,8438209500,8017241200,10014468000,13058999100,11606778000,10127418000,13928548800,16063768500,11259759600,2931.016771,4334.2771,5389.221,8438.2095,8017.2412,10014.468,13058.9991,11606.778,10127.418,13928.5488,16063.7685,11259.7596
Austria,Portfolio Investment Total Banks Assets (BPM5),Latvia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,11280640,17827900,36627000,62656600,84938400,106677000,128072700,105769200,119569800,188404200,179852100,208465200,11.28064,17.8279,36.627,62.6566,84.9384,106.677,128.0727,105.7692,119.5698,188.4042,179.8521,208.4652
Austria,Portfolio Investment Total Banks Assets (BPM5),Luxembourg,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,932035058.9,1153570000,1692420000,1678107200,1908754600,2747262000,3304864500,2651188500,2639179200,2948993400,3203696400,3836815200,932.0350589,1153.57,1692.42,1678.1072,1908.7546,2747.262,3304.8645,2651.1885,2639.1792,2948.9934,3203.6964,3836.8152
Austria,Portfolio Investment Total Banks Assets (BPM5),Malta,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,9870560,5243500,8841000,6810500,5898500,0,0,0,44658600,20043000,20702400,19791000,9.87056,5.2435,8.841,6.8105,5.8985,0,0,0,44.6586,20.043,20.7024,19.791
Austria,Portfolio Investment Total Banks Assets (BPM5),Netherlands,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,2730715409,3909553600,5864109000,7358064200,7303522700,9466596000,10690390200,7716976500,8054394600,10046887800,8421995100,6747411600,2730.715409,3909.5536,5864.109,7358.0642,7303.5227,9466.596,10690.3902,7716.9765,8054.3946,10046.8878,8421.9951,6747.4116
Austria,Portfolio Investment Total Banks Assets (BPM5),Portugal,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,173439840,378580700,620133000,945297400,1015721700,915315000,1220370900,1465460100,1816596600,1932145200,1120517400,527760000,173.43984,378.5807,620.133,945.2974,1015.7217,915.315,1220.3709,1465.4601,1816.5966,1932.1452,1120.5174,527.76
Austria,Portfolio Investment Total Banks Assets (BPM5),Slovak Republic,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,220055584.3,280002900,520356000,716464600,580412400,1050966000,1167375300,1757717100,1849730400,1706327400,1387060800,2683659600,220.0555843,280.0029,520.356,716.4646,580.4124,1050.966,1167.3753,1757.7171,1849.7304,1706.3274,1387.0608,2683.6596
Austria,Portfolio Investment Total Banks Assets (BPM5),Slovenia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,191823111.8,232811400,341010000,366404900,314979900,403002000,466655700,218496900,743349600,836461200,798336300,547551000,191.8231118,232.8114,341.01,366.4049,314.9799,403.002,466.6557,218.4969,743.3496,836.4612,798.3363,547.551
