debtor,Concept,creditor,Data Source,Unit,Scale,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Austria,Portfolio Investment Total Liabilities (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),USD,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Portfolio Investment Total Liabilities (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),USD,Units,2406795048,3868893152,6751082594,8398306518,8507519245,9742984254,11578652396,9316876891,14688357600,16696340118,15084156810,14103990180,2407,3869,6751,8398,8508,9743,11579,9317,14688,16696,15084,14104
Austria,Portfolio Investment Total Liabilities (BPM5),Cyprus,Coordinated Portfolio Investment Survey (CPIS),USD,Units,21124319.26,95002980.23,112783149.1,215928232.4,276123785.3,386963993.5,380477493.9,524831896.2,340070434.1,93271169.46,186413335.1,83198618.24,21,95,113,216,276,387,380,525,340,93,186,83
Austria,Portfolio Investment Total Liabilities (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),USD,Units,22641137.24,51790391.26,56085611.14,49690090.75,182972028.5,129609991.8,379387490.4,243669632.2,182231507.6,107679301.8,168207000,164925000,23,52,56,50,183,130,379,244,182,108,168,165
Austria,Portfolio Investment Total Liabilities (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),USD,Units,747342400,1595072700,2693776920,3398003628,3198803738,4401716910,4410867951,2765085228,2935942800,2938106236,3844370928,2656252990,747,1595,2694,3398,3199,4402,4411,2765,2936,2938,3844,2656
Austria,Portfolio Investment Total Liabilities (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),USD,Units,9644947200,14621114877,21446363922,25210167689,29022855532,38892672054,56114193799,61620440070,69716054978,73842626375,72704645991,68696036089,9645,14621,21446,25210,29023,38893,56114,61620,69716,73843,72705,68696
Austria,Portfolio Investment Total Liabilities (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),USD,Units,30311432200,38431708900,49586643000,63563758600,61275977400,77970351000,89923228500,83731630500,96809760600,92232541200,92010522900,1.08003E+11,30311,38432,49587,63564,61276,77970,89923,83732,96810,92233,92011,108003
Austria,Portfolio Investment Total Liabilities (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),USD,Units,48300000,198204300,1768200000,1484689000,1631525100,1529037000,2236119900,274164900,597849000,889909200,768576600,658380600,48,198,1768,1485,1632,1529,2236,274,598,890,769,658
Austria,Portfolio Investment Total Liabilities (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),USD,Units,3094244300,4774935668,6608438250,8395984400,8597653600,11614623000,12933870600,10902577800,9800401800,8875040400,6631237500,8396661600,3094,4775,6608,8396,8598,11615,12934,10903,9800,8875,6631,8397
Austria,Portfolio Investment Total Liabilities (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),USD,Units,3543811549,4276598600,6351627000,7570551800,10027910117,14309303606,16194322149,21212120391,22679529085,10850117512,17716866829,18931725594,3544,4277,6352,7571,10028,14309,16194,21212,22680,10850,17717,18932
