creditor,Concept,debtor,Data Source,Unit,Scale,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Austria,Portfolio Investment Total Banks Assets (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Portfolio Investment Total Banks Assets (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,103719676.5,183522500,184398000,266971600,476598800,607137000,865594800,1084134300,1400263200,1960205400,1465988700,1163710800,104,184,184,267,477,607,866,1084,1400,1960,1466,1164
Austria,Portfolio Investment Total Banks Assets (BPM5),China,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,5816580,0,1263000,4086300,8257900,10536000,10304700,8350200,10084200,34741200,34935300,21110400,6,0,1,4,8,11,10,8,10,35,35,21
Austria,Portfolio Investment Total Banks Assets (BPM5),Cyprus,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,42390530,34607100,127563000,949383700,1977177200,3857493000,4768131900,4713687900,3929956800,327369000,307948200,87080400,42,35,128,949,1977,3857,4768,4714,3930,327,308,87
Austria,Portfolio Investment Total Banks Assets (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,64687420,42996700,49257000,164814100,161618900,164625000,166347300,146128500,69148800,72154800,62107200,68608800,65,43,49,165,162,165,166,146,69,72,62,69
Austria,Portfolio Investment Total Banks Assets (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,180473726.8,253785400,464784000,705567800,848204300,1078623000,1146765900,1203820500,1115024400,1731715200,2138816700,853651800,180,254,465,706,848,1079,1147,1204,1115,1732,2139,854
Austria,Portfolio Investment Total Banks Assets (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,1175913385,1756572500,2632092000,3432492000,4073504100,5034891000,5819211300,6563257200,6811156800,8699998200,8036412900,6162917400,1176,1757,2632,3432,4074,5035,5819,6563,6811,8700,8036,6163
Austria,Portfolio Investment Total Banks Assets (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,8395038539,13774674500,18444852000,23874888800,22030897500,22619475000,25635149400,21844123200,18763815000,28411620600,26470606200,10522215000,8395,13775,18445,23875,22031,22619,25635,21844,18764,28412,26471,10522
Austria,Portfolio Investment Total Banks Assets (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,1223979235,2440324900,4181793000,5358501400,5019623500,5973912000,7545984600,5072746500,3816149400,4188987000,1551386100,6597000,1224,2440,4182,5359,5020,5974,7546,5073,3816,4189,1551,7
Austria,Portfolio Investment Total Banks Assets (BPM5),India,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,39482240,22022700,21471000,8172600,18875200,18438000,29442000,12525300,7203000,61465200,19408500,0,39,22,21,8,19,18,29,13,7,61,19,0
Austria,Portfolio Investment Total Banks Assets (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,568607400.9,772891900,1540860000,2988447400,3851720500,5976546000,8245232100,7014168000,7231812000,3685239600,4099075200,2013404400,569,773,1541,2988,3852,5977,8245,7014,7232,3685,4099,2013
Austria,Portfolio Investment Total Banks Assets (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,2931016771,4334277100,5389221000,8438209500,8017241200,10014468000,13058999100,11606778000,10127418000,13928548800,16063768500,11259759600,2931,4334,5389,8438,8017,10014,13059,11607,10127,13929,16064,11260
Austria,Portfolio Investment Total Banks Assets (BPM5),Japan,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,205388670.2,224421800,130089000,137572100,180494100,151455000,154570500,182312700,159906600,204438600,107393700,55414800,205,224,130,138,180,151,155,182,160,204,107,55
Austria,Portfolio Investment Total Banks Assets (BPM5),Latvia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,11280640,17827900,36627000,62656600,84938400,106677000,128072700,105769200,119569800,188404200,179852100,208465200,11,18,37,63,85,107,128,106,120,188,180,208
Austria,Portfolio Investment Total Banks Assets (BPM5),Luxembourg,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,932035058.9,1153570000,1692420000,1678107200,1908754600,2747262000,3304864500,2651188500,2639179200,2948993400,3203696400,3836815200,932,1154,1692,1678,1909,2747,3305,2651,2639,2949,3204,3837
Austria,Portfolio Investment Total Banks Assets (BPM5),Malta,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,9870560,5243500,8841000,6810500,5898500,0,0,0,44658600,20043000,20702400,19791000,10,5,9,7,6,0,0,0,45,20,21,20
Austria,Portfolio Investment Total Banks Assets (BPM5),Netherlands,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,2730715409,3909553600,5864109000,7358064200,7303522700,9466596000,10690390200,7716976500,8054394600,10046887800,8421995100,6747411600,2731,3910,5864,7358,7304,9467,10690,7717,8054,10047,8422,6747
Austria,Portfolio Investment Total Banks Assets (BPM5),Norway,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,296557450,327194400,490044000,506701200,507271000,746739000,958337100,1473810300,1467971400,2772615000,2048243700,1125448200,297,327,490,507,507,747,958,1474,1468,2773,2048,1125
Austria,Portfolio Investment Total Banks Assets (BPM5),Portugal,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,173439840,378580700,620133000,945297400,1015721700,915315000,1220370900,1465460100,1816596600,1932145200,1120517400,527760000,173,379,620,945,1016,915,1220,1465,1817,1932,1121,528
Austria,Portfolio Investment Total Banks Assets (BPM5),Russian Federation,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,363069753.3,338730100,266493000,450855100,607545500,632160000,264978000,144736800,161347200,295300200,253604400,352279800,363,339,266,451,608,632,265,145,161,295,254,352
Austria,Portfolio Investment Total Banks Assets (BPM5),Slovak Republic,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,220055584.3,280002900,520356000,716464600,580412400,1050966000,1167375300,1757717100,1849730400,1706327400,1387060800,2683659600,220,280,520,716,580,1051,1167,1758,1850,1706,1387,2684
Austria,Portfolio Investment Total Banks Assets (BPM5),Slovenia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,191823111.8,232811400,341010000,366404900,314979900,403002000,466655700,218496900,743349600,836461200,798336300,547551000,192,233,341,366,315,403,467,218,743,836,798,548
Austria,Portfolio Investment Total Banks Assets (BPM5),Spain,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,417029006.1,709969900,1347621000,2326466800,3677124900,5979180000,7116131400,6933449400,6534561600,6480570000,6411274500,2169093600,417,710,1348,2326,3677,5979,7116,6933,6535,6481,6411,2169
Austria,Portfolio Investment Total Banks Assets (BPM5),Sweden,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,333516048.9,405846900,477414000,551650500,510810100,520215000,681582300,997848900,1561610400,3365887800,3092421000,1769315400,334,406,477,552,511,520,682,998,1562,3366,3092,1769
Austria,Portfolio Investment Total Banks Assets (BPM5),Switzerland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,248332211.4,159402400,210921000,215211800,338573900,197550000,232591800,173962500,105163800,113577000,115157100,64650600,248,159,211,215,339,198,233,174,105,114,115,65
Austria,Portfolio Investment Total Banks Assets (BPM5),Turkey,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,54904990,101723900,143982000,217936000,310261100,308178000,340055100,199013100,159906600,150990600,90573000,203187600,55,102,144,218,310,308,340,199,160,151,91,203
Austria,Portfolio Investment Total Banks Assets (BPM5),Arab Emirates,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,21793600,317339300,329250000,397467000,219888600,216090000,273921000,183733800,64650600,0,0,0,22,317,329,397,220,216,274,184,65
Austria,Portfolio Investment Total Banks Assets (BPM5),United Kingdom,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,1666805382,2649016200,2863221000,4646123100,5160007800,6534954000,7444409700,7774036200,7972280400,8104053000,7332531300,6300135000,1667,2649,2863,4646,5160,6535,7444,7774,7972,8104,7333,6300
Austria,Portfolio Investment Total Banks Assets (BPM5),United States,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,2083506279,2432984000,2999625000,4693796600,5261462000,7143408000,10353279300,7087928100,8414544600,8893747200,7584841800,6881990400,2084,2433,3000,4694,5261,7143,10353,7088,8415,8894,7585,6882
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,21124319.26,95002980.23,110510186.6,214499074.8,273073741.6,376426040.5,376217236.5,281025628.6,236455908.5,48585247.51,149359642.1,13560568.9,21,95,111,214,273,376,376,281,236,49,149,14
Cyprus,Portfolio Investment Total Banks Assets (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,4756169.644,13328331.83,36994950.5,101696463.7,109933337.6,147694538.5,136604991.6,133243401.2,120042399.2,335750167.5,688062054,124285460.5,5,13,37,102,110,148,137,133,120,336,688,124
Cyprus,Portfolio Investment Total Banks Assets (BPM5),China,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,1778178.694,574751.2665,4983242.04,63329949.15,28406294.41,29134812.01,28967983.8,32009100,33133800,-2.85E-11,0,0,2,1,5,63,28,29,29,32,33,0,0,0
