creditor,Concept,debtor,Data Source,Unit,Scale,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Austria,Portfolio Investment Total General Government Assets (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Portfolio Investment Total General Government Assets (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,3348940,14681800,3789000,1362100,7078200,9219000,10304700,0,0,0,0,1319400,3.34894,14.6818,3.789,1.3621,7.0782,9.219,10.3047,0,0,0,0,1.3194
Austria,Portfolio Investment Total General Government Assets (BPM5),China,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Portfolio Investment Total General Government Assets (BPM5),Cyprus,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,1293900,2638800,0,0,0,0,0,0,0,0,0,0,1.2939,2.6388
Austria,Portfolio Investment Total General Government Assets (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,113670000,0,0,0,0,0,0,0,0,0,0,0,113.67,0,0,0,0,0,0,0,0,0
Austria,Portfolio Investment Total General Government Assets (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,1233820,0,0,0,0,1317000,0,0,1440600,1336200,1293900,6597000,1.23382,0,0,0,0,1.317,0,0,1.4406,1.3362,1.2939,6.597
Austria,Portfolio Investment Total General Government Assets (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,30404850,217080900,12630000,14983100,20054900,34242000,61828200,65409900,57624000,57456600,73752300,84441600,30.40485,217.0809,12.63,14.9831,20.0549,34.242,61.8282,65.4099,57.624,57.4566,73.7523,84.4416
Austria,Portfolio Investment Total General Government Assets (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,352520000,278954200,328380000,328266100,211166300,310812000,256145400,267206400,283798200,305989800,358410300,403736400,352.52,278.9542,328.38,328.2661,211.1663,310.812,256.1454,267.2064,283.7982,305.9898,358.4103,403.7364
Austria,Portfolio Investment Total General Government Assets (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,705040,0,0,0,0,2634000,2944200,0,0,13362000,6469500,2638800,0.70504,0,0,0,0,2.634,2.9442,0,0,13.362,6.4695,2.6388
Austria,Portfolio Investment Total General Government Assets (BPM5),India,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Portfolio Investment Total General Government Assets (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,2203250,307269100,8841000,2724200,3539100,28974000,39746700,16700400,7203000,49439400,54343800,62011800,2.20325,307.2691,8.841,2.7242,3.5391,28.974,39.7467,16.7004,7.203,49.4394,54.3438,62.0118
Austria,Portfolio Investment Total General Government Assets (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,24764530,22022700,2526000,0,1179700,0,7360500,19483800,21609000,21379200,31053600,46179000,24.76453,22.0227,2.526,0,1.1797,0,7.3605,19.4838,21.609,21.3792,31.0536,46.179
Austria,Portfolio Investment Total General Government Assets (BPM5),Japan,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,1057560,1048700,0,0,0,0,0,0,0,0,0,0,1.05756,1.0487,0,0,0,0,0,0,0,0,0,0
Austria,Portfolio Investment Total General Government Assets (BPM5),Latvia,Coordinated Portfolio Investment Survey (CPIS),US Dollars,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
