debtor,Concept,creditor,Data Source,Unit,Scale,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Austria,Portfolio Investment Total Liabilities (BPM5),Austria,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Portfolio Investment Total Liabilities (BPM5),Belgium,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,2406795048,3868893152,6751082594,8398306518,8507519245,9742984254,11578652396,9316876891,14688357600,16696340118,15084156810,14103990180,2407,3869,6751,8398,8508,9743,11579,9317,14688,16696,15084,14104
Austria,Portfolio Investment Total Liabilities (BPM5),Cyprus,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,21124319,95002980,112783149,215928232,276123785,386963994,380477494,524831896,340070434,93271169,186413335,83198618,21,95,113,216,276,387,380,525,340,93,186,83
Austria,Portfolio Investment Total Liabilities (BPM5),Estonia,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,22641137,51790391,56085611,49690091,182972029,129609992,379387490,243669632,182231508,107679302,168207000,164925000,23,52,56,50,183,130,379,244,182,108,168,165
Austria,Portfolio Investment Total Liabilities (BPM5),Finland,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,747342400,1595072700,2693776920,3398003628,3198803738,4401716910,4410867951,2765085228,2935942800,2938106236,3844370928,2656252990,747,1595,2694,3398,3199,4402,4411,2765,2936,2938,3844,2656
Austria,Portfolio Investment Total Liabilities (BPM5),France,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,9644947200,14621114877,21446363922,25210167689,29022855532,38892672054,56114193799,61620440070,69716054978,73842626375,72704645991,68696036089,9645,14621,21446,25210,29023,38893,56114,61620,69716,73843,72705,68696
Austria,Portfolio Investment Total Liabilities (BPM5),Germany,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,30311432200,38431708900,49586643000,63563758600,61275977400,77970351000,89923228500,83731630500,96809760600,92232541200,92010522900,1.08003E+11,30311,38432,49587,63564,61276,77970,89923,83732,96810,92233,92011,108003
Austria,Portfolio Investment Total Liabilities (BPM5),Greece,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,48300000,198204300,1768200000,1484689000,1631525100,1529037000,2236119900,274164900,597849000,889909200,768576600,658380600,48,198,1768,1485,1632,1529,2236,274,598,890,769,658
Austria,Portfolio Investment Total Liabilities (BPM5),India,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,0,0,0,0,0,0,36511,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Portfolio Investment Total Liabilities (BPM5),Ireland,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,3094244300,4774935668,6608438250,8395984400,8597653600,11614623000,12933870600,10902577800,9800401800,8875040400,6631237500,8396661600,3094,4775,6608,8396,8598,11615,12934,10903,9800,8875,6631,8397
Austria,Portfolio Investment Total Liabilities (BPM5),Italy,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,3543811549,4276598600,6351627000,7570551800,10027910117,14309303606,16194322149,21212120391,22679529085,10850117512,17716866829,18931725594,3544,4277,6352,7571,10028,14309,16194,21212,22680,10850,17717,18932
Austria,Portfolio Investment Total Liabilities (BPM5),Japan,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,6509074090,9472559433,11204827031,11815772945,11715581774,14082670324,13793465527,16055096419,16402346296,17890400574,16235705149,16232970879,6509,9473,11205,11816,11716,14083,13793,16055,16402,17890,16236,16233
Austria,Portfolio Investment Total Liabilities (BPM5),Latvia,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,2367582,1241122,10468370,2346027,16076636,19117647,41618757,0,0,0,0,0,2,1,10,2,16,19,42
Austria,Portfolio Investment Total Liabilities (BPM5),Luxembourg,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,11368157163,14792322327,18844525354,23618232119,25973724472,32890786112,37773728463,32504187899,27957503143,28443660174,27583044744,28927403092,11368,14792,18845,23618,25974,32891,37774,32504,27958,28444,27583,28927
Austria,Portfolio Investment Total Liabilities (BPM5),Malta,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,135822940,199338300,281167110,309114314,523550860,389436900,285912734,423604254,453518167,389862940,427867758,412739194,136,199,281,309,524,389,286,424,454,390,428,413
Austria,Portfolio Investment Total Liabilities (BPM5),Netherlands,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,12116993700,8531174500,11378367000,14867321500,14748609400,17836131000,20273761200,16978740000,22898337000,25629652200,32379847500,36674042400,12117,8531,11378,14867,14749,17836,20274,16979,22898,25630,32380,36674
Austria,Portfolio Investment Total Liabilities (BPM5),Norway,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,927753340,1529101024,2752211527,2975594040,2671196455,4496485623,5708502773,5071142857,4316955017,5081740614,5841068447,5763195691,928,1529,2752,2976,2671,4496,5709,5071,4317,5082,5841,5763
Austria,Portfolio Investment Total Liabilities (BPM5),Portugal,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,385043047,652726941,712422116,766567318,1487861234,1488631440,1853211969,1483969710,1615157502,1484585010,2027994165,2257150356,385,653,712,767,1488,1489,1853,1484,1615,1485,2028,2257
Austria,Portfolio Investment Total Liabilities (BPM5),Russian Federation,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,4000000,2000000,48000000,49000000,3000000,63000000,59000000,23000000,16000000,91000000,90167051,263703678,4,2,48,49,3,63,59,23,16,91,90,264
Austria,Portfolio Investment Total Liabilities (BPM5),Slovak Republic,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,23441000,39032371,179912485,268802850,481404157,625763926,662715348,682515782,1621395300,1566694500,1588909200,1421257680,23,39,180,269,481,626,663,683,1621,1567,1589,1421
Austria,Portfolio Investment Total Liabilities (BPM5),Slovenia,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,0,0,0,0,0,0,0,0,973633540,1018224898,922468972,858227479,0,0,0,0,0,0,0,0,974,1018,922,858
Austria,Portfolio Investment Total Liabilities (BPM5),Spain,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,514679200,1694804070,2398184400,3240016131,3810548970,4748048400,5539030652,5352576643,10830236430,6964648536,6752956597,6532309712,515,1695,2398,3240,3811,4748,5539,5353,10830,6965,6753,6532
Austria,Portfolio Investment Total Liabilities (BPM5),Sweden,Coordinated Portfolio Investment Survey (CPIS),US Dollars Derived,Units,516275791,926710595,611898125,856741148,1219717531,1574793912,2407632998,1004359020,880340999,553146299,574064492,783150127,516,927,612,857,1220,1575,2408,1004,880,553,574,783
